"card_name","issuer","card_type","annual_fee","annual_fee_year_1","annual_fee_year_2_plus","reward_model","rewards_type","card_family","cashback_rate_display","cashback_rate_effective","signup_bonus","signup_bonus_type","estimated_bonus_value_usd","minimum_spend_amount","bonus_to_spend_ratio","spend_time_frame","intro_apr_purchase","foreign_tx_fee","best_for","why_this_card_exiss","pros","cons","application_link","ftf","lounge","ge_tsa_precheck","special_feature_1","special_feature_2","gas_rate","grocery_rate","restaurant_rate","travel_airline_rate","travel_hotel_rate","travel_portal_rate","other_rate","rotating_categories","transfer_partners","credit_score_quantity","credit_score_quality"
"Chase Freedom Unlimited","Chase","personal","0.0","0.0","0.0","cashback","Cash","Freedom ","5 / 3 / 1.5","1.8","250","dollars","$250","$500","0.4","3.0","0% for 15 months","Yes","Everyday spending with no annual fee and solid category bonuses","Bridges no-fee simplicity with Chase Ultimate Rewards ecosystem for future flexibility","• 5% rotating categories (quarterly) ✓ • 1.5% base rate ✓ • Pairs with Sapphire ✓","• Foreign transaction fee 🌍 • Quarterly activation required • Bonus caps","https://creditcards.chase.com/cash-back-credit-cards/freedom/unlimited","3%","","","6mo DashPass","$10/qtr DoorDash","3.0","1.0","3.0","2.0","2.0","5.0","1.5","no","","700","good"
"Chase Freedom Flex","Chase","personal","0.0","0.0","0.0","cashback","Cash","Freedom ","5 / 3 / 1","1.6","200.0","dollars","200.0","$500","0.4","3.0","0% for 15 months","Yes","Maximizing quarterly 5% categories without annual fee","Offers high earning potential in rotating categories for organized spenders","• 5% quarterly rotating categories ✓ • 3% drugstores, dining ✓ • No annual fee ✓","• Quarterly activation required • $1,500/qtr cap • Foreign transaction fee 🌍","https://creditcards.chase.com/cash-back-credit-cards/freedom/flex","3%","","","Cell phone protection","6mo DashPass","5.0","5.0","3.0","1.0","1.0","5.0","1.0","yes","","700","good"
"Chase Amazon Prime Visa","Chase","personal","0.0","0.0","0.0","cashback","Cash","","5 / 2 / 1","1.8","150.0","dollars","150.0","$0","","0.0","","No","Heavy Amazon shoppers and Prime members","Captures Amazon's massive user base with best-in-class earning on Amazon purchases","• 5% Amazon and Whole Foods ✓ • 2% restaurants, gas, drugstores ✓ • No annual fee ✓","• Requires Prime membership ⚠️ • Foreign transaction fee 🌍 • Value drops without Prime","https://creditcards.chase.com/cash-back-credit-cards/amazon-prime-rewards","0%","","","$150 gift card on approval","","2.0","1.0","1.0","1.0","1.0","1.0","1.0","no","","700","good"
"Chase Freedom Rise","Chase","personal","0.0","0.0","0.0","cashback","Cash","Freedom ","1.5","1.5","25","dollars","25.0","$0","","3 months from account opening","","Yes","Credit builders seeking simple flat-rate rewards","Entry point into Chase ecosystem for customers with limited or rebuilding credit","• No annual fee ✓ • Fair-credit approval ✓ • 1.5% earning ✓","• Low 1.5% rate • Foreign transaction fee 🌍 • No intro APR","https://creditcards.chase.com/cash-back-credit-cards/freedom/rise","3%","","","$25 for autopay enrollment","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","no","","640","ok"
"Chase Sapphire Preferred","Chase","personal","95.0","95.0","95.0","travel","Ultimate Rewards (UR)","Sapphire ","","0.5","75000.0","points","750.0","$5,000","0.15","3.0","","No","Travelers wanting premium perks without luxury-tier fees","Gateway travel card balancing strong earning transfer partners and manageable annual fee","• 60k+ welcome bonus ✓ • Transferable to 14+ partners ✓ • 3× dining, 2× travel ✓","• $95 annual fee 💰 • Less lounge access than Reserve • Portal favors Chase","https://creditcards.chase.com/rewards-credit-cards/sapphire/preferred","0%","","","$50 hotel credit/yr","10% anniversary bonus","1.0","3.0","3.0","2.0","2.0","5.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","700","good"
"Chase Sapphire Reserve","Chase","personal","795.0","795.0","795.0","travel","Ultimate Rewards (UR)","Sapphire ","","0.5","125000.0","points","1250.0","$6,000","0.2083","3.0","","No","Frequent travelers who value lounge access and premium travel benefits","Flagship personal travel card for customers prioritizing experience over cost","• $300 travel credit ✓ • Priority Pass lounges ✓ • 1.5× portal boost ✓","• $795 annual fee 💰 • Needs heavy travel to justify • Credits need optimization","https://creditcards.chase.com/rewards-credit-cards/sapphire/reserve","0%","Priority Pass + Chase lounges","Yes ($120/4yr)","$300 travel credit","$500 The Edit hotel credit","1.0","1.0","3.0","3.0","3.0","10.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","740","great"
"Chase Ink Cash","Chase","business","0.0","0.0","0.0","cashback","Cash","Ink ","5 / 2 / 1","2.0","750.0","dollars","750.0","$6,000","0.125","3.0","0% for 12 months","No","Small businesses with heavy office supply telecom or gas spending","Maximizes cash back in core small-business spend categories without annual cost","• 5% office, internet, cable, phone ✓ • 2% gas, dining ✓ • No annual fee ✓","• 5% capped at $25k/yr • Foreign transaction fee 🌍 • Weak outside categories","https://creditcards.chase.com/business-credit-cards/ink/cash","0%","","","5% Lyft thru 9/27","","5.0","2.0","1.0","1.0","1.0","1.0","1.0","no","","700","good"
"Chase Ink Unlimited","Chase","business","0.0","0.0","0.0","cashback","Cash","Ink ","1.5","1.5","750.0","dollars","750.0","$6,000","0.125","3.0","0% for 12 months","No","Businesses wanting simple flat-rate cash back on all purchases","Simplifies business spend tracking with unlimited flat earning and no annual fee","• 1.5% on all purchases ✓ • No annual fee ✓ • Doesn't count toward 5/24 ✓","• No category bonuses • Foreign transaction fee 🌍 • Lower earning ceiling","https://creditcards.chase.com/business-credit-cards/ink/unlimited","0%","","","5% Lyft thru 9/27","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","no","","700","good"
"United Gateway Card","Chase","personal","0.0","0.0","0.0","airline","United Miles","United ","2 / 1","1.4","40000","miles","300.0","$1,000","0.3","3.0","0% for 12 months","No","Occasional United flyers wanting United perks without annual fee commitment","Brings United co-brand benefits to cost-conscious travelers flying a few times per year","• No annual fee ✓ • 2× United ✓ • Bonus miles on anniversary ✓","• No free checked bag ✈️ • Smaller welcome bonus • Limited perks","https://creditcards.chase.com/travel-credit-cards/united/united-gateway","0%","","","2 checked bags after $10k/yr","25% back inflight","2.0","1.0","1.0","2.0","1.0","1.0","1.0","no","United","700","good"
"United Club Infinite Card","Chase","personal","695.0","695.0","695.0","airline","United Miles","United ","4 / 2 / 1","0.5","110000","miles","900.0","$5,000","0.18","3.0","","No","Road warriors flying United weekly who live in United Club lounges","Top-tier United card for heavy flyers needing premium lounge access and elite-qualifying benefits","• United Club included (~$650 value) ✓ • 4× United ✓ • Free checked bags ✓","• $695 annual fee 💰 • Needs frequent United travel • Niche outside United hubs","https://creditcards.chase.com/travel-credit-cards/united/club-infinite","0%","United Club included","Yes ($120/4yr)","Free 1st+2nd checked bags","Over $875 annual credits","2.0","1.0","1.0","5.0","1.0","1.0","1.0","no","United","740","great"
"Southwest Rapid Rewards Plus","Chase","personal","99.0","99.0","99.0","airline","Southwest Rapid Rewards","Southwest ","2 / 2 / 1","0.5","50000.0","miles","500.0","$1,000","0.5","3.0","","No","Occasional Southwest flyers wanting lowest annual fee and Companion Pass qualification","Entry Southwest personal card with first bag free and anniversary points at the lowest fee among Chase Southwest cards","• 3,000 anniversary pts ✓ • 2× Southwest ✓ • 2× gas and grocery (first $5k/yr) ✓ • First bag free ✓ • 10% flight discount yearly ✓ • Companion Pass qualification ✓ • No foreign transaction fee ✓","• $99 annual fee 💰 • Fewer perks than Premier or Priority • No TSA PreCheck credit","https://creditcards.chase.com/southwest/plus-credit-card","0%","","","3,000 pts anniversary","10% flight discount yearly","1.0","1.0","1.0","2.0","1.0","1.0","1.0","no","Southwest","700","good"
"Southwest Rapid Rewards Priority","Chase","personal","229.0","229.0","229.0","airline","Southwest Rapid Rewards","Southwest ","4 / 2 / 1","0.5","55000","miles","500.0","$1,500","0.5","3.0","","No","Regular Southwest flyers seeking annual credits and anniversary points","Mid-premium Southwest card balancing cost and perks for several trips per year","• $75 Southwest credit ✓ • 7,500 anniversary pts ✓ • 4× Southwest ✓ • No foreign transaction fee ✓","• $229 annual fee 💰 • Needs regular Southwest use • Credits expire annually","https://creditcards.chase.com/southwest/priority-credit-card","0%","","","$75 Southwest credit","7,500 pts anniversary","1.0","1.0","1.0","3.0","1.0","1.0","1.0","no","Southwest","700","good"
"Southwest Rapid Rewards Premier","Chase","personal","149.0","149.0","149.0","airline","Southwest Rapid Rewards","Southwest ","3 / 2 / 1","0.5","55000","points","500.0","$1,500","0.5","3.0","","No","Southwest loyalists building toward Companion Pass on a budget","Entry co-brand for Southwest ecosystem and Companion Pass qualification via spend","• 6,000 anniversary pts ✓ • 3× Southwest ✓ • Companion Pass qualification ✓","• $149 annual fee 💰 • Fewer perks than Priority • Best with Companion Pass goal","https://creditcards.chase.com/southwest/premier-credit-card","0%","","","6,000 pts anniversary","15% flight discount yearly","1.0","1.0","1.0","2.0","1.0","1.0","1.0","no","Southwest","700","good"
"Marriott Bonvoy Bountiful","Chase","personal","250.0","250.0","250.0","hotel","Marriott Bonvoy Points","Marriott ","6 / 4 / 2","0.5","85000.0","points","283.0","$4,000","0.0707","3.0","","No","Frequent Marriott guests wanting automatic status and annual free night","Premium Marriott card delivering Silver Elite status and flexible points earning across travel/dining","• 6× Marriott ✓ • 4× dining, 2× travel ✓ • Free night (50k pts) ✓","• $250 annual fee 💰 • Free night caps at 50k • Marriott-only value","https://creditcards.chase.com/travel-credit-cards/marriott-bonvoy/bountiful","0%","","","Free night after $15k (50k pts)","15 Elite Night Credits, Gold Elite","1.0","1.0","1.0","1.0","5.0","1.0","1.0","no","Marriott","700","good"
"IHG One Rewards Premier","Chase","personal","99.0","99.0","99.0","hotel","IHG One Rewards","IHG ","10 / 5 / 3 / 1","0.6","140000","points","583.0","$3,000","0.1166","3.0","","No","Regular IHG guests seeking Platinum status and strong hotel multipliers","Delivers outsized IHG earning and status perks at accessible annual fee","• 10× IHG ✓ • Free night (40k pts) ✓ • Platinum Elite status ✓","• $99 annual fee 💰 • Free night ≤40k only • IHG loyalty needed","https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/premier","0%","","Yes ($120/4yr)","Anniversary free night (40k)","$100+10k pts after $20k/yr","1.0","1.0","1.0","1.0","5.0","1.0","1.0","no","IHG","700","good"
"IHG One Rewards Traveler","Chase","personal","0.0","0.0","0.0","hotel","IHG One Rewards","IHG ","5 / 3 / 2 / 1","0.4","80000","points","300.0","$2,000","0.15","3.0","","No","Casual IHG guests wanting no-fee hotel earning and some bonus categories","Entry IHG card for occasional hotel stays without ongoing cost commitment","• No annual fee ✓ • 5× IHG ✓ • 3× gas, dining ✓","• No free night • No elite status • Lower value than Premier","https://creditcards.chase.com/travel-credit-cards/ihg-rewards-club/traveler","0%","","","Silver Elite; up to 120k with 3x bonus","10k pts after $10k/yr; 4th night free","1.0","1.0","1.0","1.0","3.0","1.0","1.0","no","IHG","640","ok"
"Chase Sapphire Reserve for Business","Chase","business","795.0","795.0","795.0","travel","Ultimate Rewards (UR)","Sapphire ","","0.5","150000.0","points","1500.0","$20,000","0.075","3.0","","No","Business owners with heavy travel spend needing premium protections and lounge access","Business version of flagship Reserve delivering same premium travel experience with business expense tracking","• $300 travel credit ✓ • Priority Pass ✓ • Doesn't count toward 5/24 ✓","• $795 annual fee 💰 • Needs high travel spend • Overlaps personal Reserve","https://creditcards.chase.com/business-credit-cards/sapphire/reserve","0%","Priority Pass + Chase lounges","Yes ($120/4yr)","$300 travel credit","$500 The Edit + DoorDash $420","1.0","1.0","3.0","3.0","3.0","8.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","740","great"
"Ink Business Preferred Credit Card","Chase","business","95.0","95.0","95.0","travel","Ultimate Rewards (UR)","Ink ","","0.5","100000","points","900.0","$8,000","0.1125","3.0","","No","Small businesses maximizing Ultimate Rewards points on common expense categories","Flagship Ink card optimized for points earning on internet shipping advertising and travel","• 100k+ welcome bonus ✓ • 3× travel, shipping, internet, ads ✓ • Transferable UR ✓ • Doesn't count 5/24 ✓","• $95 annual fee 💰 • 3× capped at $150k/yr • Tied to Chase UR partners","https://creditcards.chase.com/business-credit-cards/ink/business-preferred","0%","","","5x Lyft thru 9/27","12mo DashPass, $10/mo DoorDash","3.0","2.0","1.0","3.0","1.0","1.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","700","good"
"Ink Business Premier Credit Card","Chase","business","195.0","195.0","195.0","cashback","Cash","Ink ","2.5 / 2","2.2","1000.0","dollars","1000.0","$10,000","0.1","3.0","","No","High-spend businesses wanting simple cash back on large purchases","Premium cash-back Ink optimized for businesses making frequent large transactions ($5k+)","• 2.5% on ≥$5k purchases ✓ • 2% elsewhere ✓ • $1,000 welcome bonus ✓","• $195 annual fee 💰 • Cash only, no transfers • Needs high spend to justify","https://creditcards.chase.com/business-credit-cards/ink/premier","0%","","","Cell phone protection","2.5% on $5k+ purchases","5.0","2.0","1.0","3.0","1.0","1.0","1.0","no","United;Southwest;JetBlue;Air Canada;British Airways;Iberia;Aer Lingus;Virgin Atlantic;Flying Blue;Emirates;Singapore;Hyatt;Marriott;IHG","700","good"
"United Business Card","Chase","business","150","0.0","150.0","airline","United Miles","United ","2 / 1.5 / 1","0.5","100000.0","miles","1000.0","$5,000","0.2","3.0","","No","Small businesses with moderate United travel seeking strong welcome bonus and perks","Brings United co-brand earning and benefits to business travelers at accessible cost","• First year free ✓ • 100k+ welcome bonus ✓ • Free checked bag ✓ • Doesn't count 5/24 ✓","• $150 after year one 💰 • Best with regular United travel • Fewer perks than Club","https://creditcards.chase.com/business-credit-cards/united/united-business-card","0%","","","2 United Club passes/yr","Over $600 partner credits","2.0","1.0","1.0","2.0","1.0","1.0","1.0","no","United","700","good"
"United Club Business Card","Chase","business","695.0","695.0","695.0","airline","United Miles","United ","4 / 2 / 1","0.5","100000.0","miles","1000.0","$5,000","0.2","3.0","","No","Businesses with weekly United travel needing lounge access and premium benefits","Premium United business card delivering United Club membership and elevated earning","• United Club included ✓ • 4× United ✓ • Free bags ✓ • Doesn't count 5/24 ✓","• $695 annual fee 💰 • Needs very frequent United travel • Niche outside United hubs","https://creditcards.chase.com/business-credit-cards/united/united-club-business","0%","United Club included","","Free 1st+2nd checked bags","Over $925 partner credits","2.0","1.0","1.0","5.0","1.0","1.0","1.0","no","United","740","great"
"Southwest Rapid Rewards Performance Business","Chase","business","299.0","299.0","299.0","airline","Southwest Rapid Rewards","Southwest ","4 / 3 / 2 / 1","0.5","55000","miles","1200.0","$1,500","0.24","3.0","","No","Businesses building large Southwest point balances and pursuing Companion Pass","Top-tier Southwest business card packed with credits anniversary points and huge welcome bonus","• 80k welcome bonus ✓ • 9,000 anniversary pts ✓ • Wi-Fi, upgraded boarding ✓","• $299 annual fee 💰 • Credits need active use • Tied to Southwest","https://creditcards.chase.com/southwest/performance-business-credit-card","0%","","Yes ($120/4yr)","9,000 pts anniversary","Preferred seat at booking, Extra Legroom","1.0","1.0","1.0","3.0","1.0","1.0","1.0","no","Southwest","700","good"
"Southwest Rapid Rewards Premier Business","Chase","business","149.0","149.0","149.0","airline","Southwest Rapid Rewards","Southwest ","3 / 2 / 1","0.5","55000","points","900.0","$1,500","0.3","3.0","","No","Small businesses flying Southwest occasionally and contributing to Companion Pass","Entry Southwest business card balancing cost and Companion Pass qualification","• 6,000 anniversary pts ✓ • 3× Southwest ✓ • Companion Pass qualification ✓","• $149 annual fee 💰 • Fewer perks than Performance • Best with Companion Pass","https://creditcards.chase.com/southwest/premier-business-credit-card","0%","","","6,000 pts anniversary","15% flight discount; Preferred seat within 48hrs","1.0","1.0","1.0","2.0","1.0","1.0","1.0","no","Southwest","700","good"
"IHG One Rewards Premier Business","Chase","business","99.0","99.0","99.0","hotel","IHG One Rewards","IHG ","10 / 5 / 3 / 1","0.6","140000.0","points","466.0","$4,000","0.1165","3.0","","No","Businesses with regular IHG stays seeking Platinum status and strong multipliers","Business version of IHG Premier delivering same hotel perks with expense separation","• 10× IHG ✓ • Free night (40k pts) ✓ • Platinum Elite status ✓","• $99 annual fee 💰 • Free night caps at 40k • IHG loyalty needed","https://creditcards.chase.com/business-credit-cards/IHG/business-premier","0%","","Yes ($120/4yr)","Anniversary free night (40k)","$100+10k pts after $20k/yr; 4th night free","1.0","1.0","1.0","1.0","5.0","1.0","1.0","no","IHG","700","good"
"World of Hyatt Business Credit Card","Chase","business","199.0","199.0","199.0","hotel","World of Hyatt Points","","4 / 2 / 1","0.6","60000.0","points","200.0","$1,000","0.2","3.0","","No","Businesses loyal to Hyatt properties wanting elite nights via card spend","Hyatt business card offering unique ability to earn elite qualifying nights through spending","• 5 elite nights per $10k spend ✓ • 4× Hyatt ✓ • Doesn't count toward 5/24 ✓","• $199 annual fee 💰 • Hyatt footprint only • Elite caps","https://www.chase.com/personal/credit-cards/hyatt/world-hyatt-business/exclusive-benefits","0%","","","$100 Hyatt credits ($50 x2); Discoverist + 5 employees","5 Tier Nights per $10k; 10% pts back after $50k","1.0","1.0","1.0","1.0","5.0","1.0","1.0","no","Hyatt","700","good"
"Citi Double Cash","Citi","personal","0.0","0.0","0.0","cashback","Cash","","2","2.0","200.0","dollars","200.0","1500","0.4","6","0% for balance transfers","Yes","Straightforward 2% cash back on everything without tracking categories or caps","Market-leading flat-rate cash back for set-it-and-forget-it earners who want simplicity","• 2% on all purchases ✓ • No annual fee ✓ • 0% balance transfer intro","• Foreign transaction fee 🌍 • Must pay balance for 2nd 1% • Statement credit only","https://www.citi.com/credit-cards/citi-double-cash-credit-card","3%","","","5% hotels/cars/attractions via Citi Travel","","0.0","0.0","0.0","0.0","0.0","0.0","2.0","no","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi Custom Cash","Citi","personal","0.0","0.0","0.0","cashback","Cash","","5 / 1","2.2","200.0","dollars","200.0","1500","0.4","6","0% for balance transfers","Yes","Automatic 5% back on your top spending category each month up to $500","Hands-off high earning that detects your top spend category without manual activation","• 5% top category (up to $500/mo) ✓ • No annual fee ✓ • No FX fee ✓","• 5% capped at $500/mo • Can't choose category • Statement credit only","https://www.citi.com/credit-cards/citi-custom-cash-credit-card?pdp=new_cc","3%","","","4% hotels/cars/attractions via Citi Travel","","5.0","5.0","5.0","5.0","5.0","5.0","1.0","no","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi Strata Premier","Citi","personal","95.0","95.0","95.0","travel","Thank You Points (TYP)","Strata ","","0.5","60000.0","points","600.0","4000","0.2","3.0","","No","Travelers wanting transferable points with strong dining travel and gas multipliers","Mid-tier travel card offering Citi ThankYou points with airline/hotel transfer partners at accessible annual fee","• 3× dining, travel, gas, supermarkets ✓ • Transfer to 18+ partners ✓ • $100 hotel credit","• $95 annual fee 💰 • Partners weaker vs Chase/Amex 📉 • Hotel credit needs spend","https://www.citi.com/credit-cards/citi-strata-premier-credit-card","0%","","","10× hotels/cars/attractions (Citi Travel)","$100 hotel credit ($500+ stay)","1.0","3.0","3.0","3.0","3.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi AAdvantage Platinum Select World Elite Mastercard","Citi","personal","$0 intro annual fee for the first year, then $99","0.0","99.0","airline","AAdvantage Miles","American ","2 / 1","0.5","50000","miles","800.0","$2,500","0.2286","3 months","","No","Regular American Airlines flyers wanting free checked bags and priority boarding","Core AA co-brand delivering essential flight perks for frequent AA travelers at mid-tier price","• 2× AA, dining, gas ✓ • Free checked bag ✓ • No FX fee ✓","• $99 annual fee 💰 • Best with 4+ AA trips/yr • AAdvantage devaluation risk ⚠️","https://creditcards.aa.com/credit-cards/citi-platinum-card-american-airlines-direct/","0%","","","Free checked bag + 4 companions","25% inflight savings; $125 flight discount after $20k","1.0","1.0","2.0","2.0","1.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","740","great"
"Citi AAdvantage Globe Mastercard","Citi","personal","350.0","350.0","350.0","airline","AAdvantage Miles","American ","2 / 1","0.5","60000","miles","900.0","4000","0.18","3","","No","Premium AA flyers wanting lounge passes and strong earn without Executive-tier fee","Mid-tier AA card with 4 Admirals Club passes and elevated earning","• 90k bonus ✓ • 4 Admirals Club passes/yr ✓ • 6× hotels • 3× AA ✓","• $350 annual fee 💰 • Best with regular AA travel • Globe revamped 2025","https://creditcards.aa.com/credit-cards/citi-globe-card-american-airlines-direct/","0%","4 Admirals Club passes/yr","Yes ($120/4yr)","Companion certificate (yr 2+); Free bag +8 companions","$100 Splurge + $240 Turo + $100 inflight credits","1.0","1.0","2.0","2.0","1.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
