"card_name","issuer","card_type","annual_fee","annual_fee_year_1","annual_fee_year_2_plus","reward_model","rewards_type","card_family","cashback_rate_display","cashback_rate_effective","signup_bonus","signup_bonus_type","estimated_bonus_value_usd","minimum_spend_amount","bonus_to_spend_ratio","spend_time_frame","intro_apr_purchase","foreign_tx_fee","best_for","why_this_card_exiss","pros","cons","application_link","ftf","lounge","ge_tsa_precheck","special_feature_1","special_feature_2","gas_rate","grocery_rate","restaurant_rate","travel_airline_rate","travel_hotel_rate","travel_portal_rate","other_rate","rotating_categories","transfer_partners","credit_score_quantity","credit_score_quality"
"Citi AAdvantage Executive World Elite Mastercard","Citi","personal","595.0","595.0","595.0","airline","AAdvantage Miles","American ","2 / 1","0.5","70000","miles","1000.0","7000","0.1","3.0","","No","Elite AA travelers flying 10+ times per year needing Admirals Club lounge access","Premium AA card delivering full lounge membership for frequent business travelers and AA loyalists","• Admirals Club included (~$650) ✓ • Free checked bag • No FX fee ✓","• $595 annual fee 💰 • Best with 8+ AA trips/yr • AAdvantage risk ⚠️","https://creditcards.aa.com/credit-cards/citi-executive-card-american-airlines-direct/","0%","Admirals Club included","Yes ($120/4yr)","10× hotels/cars (aadvantagehotels.com, aadvantagecars.com)","4× AA; $120 Avis/Budget + Lyft + Grubhub credits","1.0","1.0","2.0","2.0","1.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","740","great"
"Citi Strata Elite Credit Card","Citi","personal","595","195.0","195.0","travel","Thank You Points (TYP)","Strata ","","0.5","75000","points","800.0","6000","0.2667","3.0","","No","High spenders wanting premium travel perks and dining/entertainment credits with Citi points","Top-tier Citi travel card with elevated earn rates statement credits and transfer flexibility","• 5× travel via Citi portal ✓ • 3× dining, entertainment, gas ✓ • $100 hotel + $50 credits","• $195 annual fee 💰 • Credits need tracking • Partners weaker vs Chase/Amex 📉","https://www.citi.com/credit-cards/citi-strata-elite-credit-card","0%","Priority Pass Select + 4 Admirals Club passes","Yes ($120/4yr)","$300 hotel + $200 Splurge + $200 Blacklane credits","12× Citi Travel; 6× AA (Citi Travel); 6× Citi Nights dining","1.0","3.0","3.0","3.0","3.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","740","great"
"Citi Strata Credit Card","Citi","personal","0.0","0.0","0.0","travel","Thank You Points (TYP)","Strata ","","0.5","20000","points","300.0","$1,000","0.1","3.0","","No","Entry-level travelers wanting transferable points without annual fee commitment","No-fee access to Citi ThankYou transferable points for casual travelers building flexibility","• No annual fee ✓ • Transfer to airlines/hotels ✓ • 2× dining, travel","• Lower earn vs Premier/Elite • Foreign transaction fee 🌍 • Fewer partners","https://www.citi.com/credit-cards/citi-strata-credit-card","3%","","","5× Citi Travel; 3× self-select category","Intro APR on purchases and balance transfers","1.0","2.0","2.0","2.0","2.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi Diamond Preferred Credit Card","Citi","personal","0.0","0.0","0.0","balance_transfer","","","","0.0","0.0","","0.0","$0","","0.0","0% for 21 months","Yes","Longest 0% intro APR for balance transfers in the market","Offers industry-leading 21-month intro period for debt consolidation and payoff plans","• 21-month 0% balance transfers ✓ • No annual fee ✓ • Industry-leading intro","• No rewards ⚠️ • Balance transfer fee 3-5% • Foreign transaction fee 🌍","https://www.citi.com/credit-cards/citi-diamond-preferred-credit-card","3%","","","21-month 0% balance transfers","21-month 0% purchases","0.0","0.0","0.0","0.0","0.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi Simplicity Credit Card","Citi","personal","0.0","0.0","0.0","balance_transfer","","","","0.0","0.0","","0.0","$0","","0.0","0% for 21 months","Yes","0% intro APR with no late fees ever for stress-free credit management","Unique no-penalty structure with no late fees ever for users wanting payment flexibility and simplicity","• 21-month 0% APR ✓ • No late fees ever ✓ • No annual fee ✓","• No rewards ⚠️ • Foreign transaction fee 🌍 • Debt payoff only","https://www.citi.com/credit-cards/citi-simplicity-credit-card","3%","","","No late fees ever","No penalty APR","0.0","0.0","0.0","0.0","0.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi AAdvantage MileUp Card","Citi","personal","0.0","0.0","0.0","airline","AAdvantage Miles","American ","2 / 1","0.5","15000.0","miles","150.0","$500","0.3","3.0","","No","Light AA flyers who also want bonus earning on groceries without annual fee","Hybrid card blending AA airline earning with grocery category bonus for everyday value","• No annual fee ✓ • 2× groceries, gas ✓ • Milestone bonuses ✓","• Lower AA earn • No free bag ✈️ • Smaller bonus","https://creditcards.aa.com/credit-cards/citi-mileup-card-american-airlines-direct/","3%","","","25% inflight food/beverage savings","","1.0","2.0","2.0","2.0","1.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi Secured Mastercard","Citi","personal","0.0","0.0","0.0","credit_building","","","","0.0","0.0","","0.0","$0","","0.0","","Yes","Building or rebuilding credit with a secured deposit and path to unsecured card","Secured card designed for credit establishment with low barrier to entry and upgrade potential","• Low deposit ✓ • Reports to all bureaus ✓ • Path to unsecured • No annual fee ✓","• No rewards ⚠️ • Security deposit required • Foreign transaction fee 🌍","https://www.citi.com/credit-cards/citi-secured-credit-card","3%","","","Security deposit $200-$2,500","Path to unsecured","0.0","0.0","0.0","0.0","0.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Costco Anywhere Visa Business Card by Citi","Citi","business","0.0","0.0","0.0","cashback","Cash","","4 / 3 / 2 / 1","2.3","0.0","","0.0","$0","","0.0","","Yes","Businesses with Costco membership and high gas/travel/dining spend","Business version of Costco's strong category card optimized for warehouse and business travel","• 4% gas (up to $7k/yr) ✓ • 3% restaurants, travel ✓ • 2% Costco • No card fee ✓","• Requires Costco membership ⚠️ • Rewards paid annually (Feb) • Foreign transaction fee 🌍","https://www.citi.com/credit-cards/citi-costco-anywhere-visa-business-credit-card","0%","","","5% Costco gas; 4% other gas/EV (to $7k/yr)","3% restaurants, travel; 2% Costco; Rewards in Feb","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","700","good"
"Citi AAdvantage Business World Elite Mastercard","Citi","business","99.0","0.0","99.0","airline","AAdvantage Miles","American ","2 / 1","0.5","75000","miles","650.0","5000","0.1625","5","","No","Small businesses flying AA regularly for meetings clients or conferences","AA business card delivering strong earning on common business categories and flight perks","• 2× AA, gas, telecom ✓ • Free checked bag • Doesn't count 5/24","• $99 annual fee 💰 • Best with regular AA travel • AAdvantage risk ⚠️","https://creditcards.aa.com/credit-cards/citi-business-card-american-airlines-direct/","0%","","","Free checked bag + 4 companions","25% inflight; Companion cert after $30k spend","1.0","1.0","2.0","2.0","1.0","0.0","1.0","","Air France/KLM;Avianca;Cathay Pacific;Emirates;Etihad;EVA;JetBlue;Qantas;Qatar;Singapore;Thai;Turkish;Virgin Atlantic;Choice;Wyndham","740","great"
"Capital One Quicksilver","Capital One","personal","0.0","0.0","0.0","cashback","Cash","","1.5","1.5","200.0","dollars","200.0","$500","0.4","3.0","0% for 15 months","Yes","Simple unlimited 1.5% cash back on all purchases without thinking","Straightforward flat-rate card for users wanting simplicity over category optimization","• 1.5% on everything ✓ • No annual fee ✓ • 0% intro 15 mo • No FX fee ✓","• No bonus categories • Lower than category cards • Smaller bonus","https://www.capitalone.com/credit-cards/quicksilver/","0%","","","Capital One Travel; price drop protection","Hertz Five Star status","0.0","0.0","0.0","0.0","0.0","0.0","1.5","no","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One SavorOne","Capital One","personal","$39","0.0","0.0","cashback","Cash","","3 / 2 / 1","1.7","200.0","dollars","200.0","$500","0.4","3.0","0% for 15 months","Yes","Dining and entertainment spending with strong grocery and streaming bonuses","No-fee lifestyle card targeting foodies and entertainment spenders with everyday categories","• 3% dining, entertainment, streaming ✓ • 3% groceries ✓ • No annual fee ✓","• Grocery excl. Walmart/Target • Narrow entertainment • Lower ceiling","https://www.capitalone.com/credit-cards/savorone/","0%","","","3% grocery (excl. Walmart/Target) • dining • entertainment • streaming","1% all other","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One Venture","Capital One","personal","95.0","95.0","95.0","travel","Capital One Miles","","","0.5","75000.0","miles","750.0","$4,000","0.1875","3.0","","No","Straightforward travel rewards with simple 2× earning on everything","Entry-premium travel card offering flat-rate miles and flexible redemption without transfer complexity","• 2× miles on everything ✓ • 1¢ toward travel ✓ • Transfer to 15+ partners","• $95 annual fee 💰 • Partners weaker vs Chase/Amex 📉 • Flat 2× only","https://www.capitalone.com/credit-cards/venture/","0%","","Yes ($120/4yr)","$250 travel credit (yr 1); 5× hotels/rental cars via Capital One Travel","Hertz Five Star; $50 Lifestyle Collection credit","2.0","2.0","2.0","2.0","2.0","5.0","2.0","no","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One Venture X","Capital One","personal","395.0","395.0","395.0","travel","Capital One Miles","","","0.5","75000.0","miles","750.0","$4,000","0.1875","3.0","","No","Premium travel with strong lounge access credits and travel perks under $400 annual fee","Flagship Capital One travel card competing with Chase Sapphire Reserve at lower annual fee with better credit offsetting value","• 2× miles (10× via portal) ✓ • $300 travel credit ✓ • Priority Pass + lounges ✓","• $395 annual fee 💰 • 10× needs portal • Fewer partners vs Amex/Chase 📉","https://www.capitalone.com/credit-cards/venture-x/","0%","Capital One Lounges + Priority Pass","Yes ($120/4yr)","$300 annual travel credit; 10k anniversary miles","Hertz President's Circle; PRIOR ($149); Cultivist 50% off","2.0","2.0","2.0","2.0","2.0","10.0","2.0","no","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","740","great"
"Capital One Platinum","Capital One","personal","0.0","0.0","0.0","credit_building","","","","0.0","0.0","","0.0","$0","","0.0","","No","Building or rebuilding credit with unsecured card and credit line increase path","Unsecured starter card for fair/limited credit with potential for automatic reviews and credit line growth","• No annual fee ✓ • Unsecured, no deposit ✓ • Credit line reviews ✓","• No rewards ⚠️ • Credit building only • Foreign transaction fee 🌍","https://www.capitalone.com/credit-cards/platinum/","0%","","","Credit building; no rewards","","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One Spark Cash","Capital One","business","0","0.0","95.0","cashback","Cash","Spark ","2","2.0","1000.0","dollars","1000.0","$10000","0.1","3.0","","No","Simple unlimited 2% cash back for small businesses wanting flat-rate earning","No-fee business cash back for straightforward expense tracking and earning without categories","• 2% on all business purchases ✓ • $0 intro AF then $95 ✓ • No FX fee ✓","• No bonus categories • $1k bonus needs $10k spend • 5× only via portal","https://www.capitalone.com/small-business/credit-cards/spark-cash/","0%","","","5% hotels and rental cars via Capital One Business Travel","2% unlimited on all purchases","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One Spark Cash Plus","Capital One","business","150.0","150.0","150.0","cashback","Cash","Spark ","2 / 5 travel portal","2.0","2000.0","dollars","2000.0","$30000","0.0667","3.0","","No","High-spend businesses wanting unlimited 2% cash back on everything","Premium unlimited cash back for businesses with heavy monthly spend seeking simple strong earning","• 2% on all purchases ✓ • $2,000 welcome ✓ • 5% hotels/cars via portal ✓","• $150 annual fee 💰 • Charge card pay in full • AF refund if spend $150k/yr","https://www.capitalone.com/small-business/credit-cards/spark-cash-plus/","0%","","","$2k+ per $500k first year; 5% hotels/cars via Business Travel","AF refund if spend $150k/year; charge card","0.0","0.0","0.0","0.0","0.0","0.0","2.0","no","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One Spark Cash Select","Capital One","business","0.0","0.0","0.0","cashback","Cash","Spark ","1.5","1.5","750.0","dollars","750.0","$6000","0.125","3.0","","No","No-fee business cash back for startups or businesses with moderate spend","Starter business card with flat cash back and easier approval than Spark Cash Plus","• No annual fee ✓ • 1.5% on all purchases ✓ • $750 bonus ✓","• Lower earn than Spark Cash Plus • 5× only via portal • No bonus categories","https://www.capitalone.com/small-business/credit-cards/spark-cash-select/","0%","","","5% hotels/rental cars via Capital One Business Travel","1.5% unlimited; no annual fee","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Capital One Venture X Business","Capital One","business","395.0","395.0","395.0","travel","Capital One Miles","","2 / 10 / 5","0.5","150000.0","miles","1500.0","$30000","0.05","3.0","","No","Premium business travel with lounge access strong portal earning and travel credits","Flagship business travel card competing with Amex Business Platinum at lower annual fee with better value proposition","• 2× miles (10× via portal) ✓ • $300 travel credit ✓ • Priority Pass + lounges ✓","• $395 annual fee 💰 • 10× needs portal • 150k bonus needs $30k spend • Fewer partners 📉","https://www.capitalone.com/small-business/credit-cards/venture-x-business/","0%","Capital One Lounges + Priority Pass","Yes ($120/4yr)","$300 annual travel credit; 10k anniversary miles","10× hotels/cars; 5× flights/vacation rentals via Business Travel","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","740","great"
"Capital One Spark Miles","Capital One","business","0.0","0.0","95.0","travel","Capital One Miles","Spark ","2 / 5 travel portal","0.5","50000.0","miles","500.0","$4500","0.1111","3.0","","No","Simple business travel rewards with 2× miles on everything and no annual fee","No-fee business travel card for straightforward miles earning without category tracking","• 2× miles on everything ✓ • 5× hotels/cars via portal ✓ • $0 intro AF then $95 ✓","• Lower bonus • No lounges • 5× needs portal booking","https://www.capitalone.com/small-business/credit-cards/spark-miles/","0%","","","5× hotels/rental cars via Capital One Business Travel","Hertz Five Star; GE/TSA $120; Lifestyle Collection $50","2.0","2.0","2.0","2.0","2.0","5.0","2.0","no","Aeromexico;Air Canada;Air France/KLM;Avianca;British Airways;Cathay Pacific;Emirates;Etihad;EVA;Finnair;Qantas;Qatar;Singapore;Turkish;Virgin Red;Wyndham;Choice;Accor","700","good"
"Bank of America Customized Cash","Bank of America","personal","0.0","0.0","0.0","cashback","Cash","","3 / 2 / 1","1.7","200.0","dollars","200.0","1000","0.4","3.0","0% for 15 months","Yes","Choosing your own 3% category each month from common spending areas","Flexible category optimization for users who want control over bonus earning without annual fee","• 3% category choice ✓ • 2% grocery, wholesale • Preferred Rewards up to 5.25% ✓","• 3% capped $2,500/qtr • Must select category • Foreign transaction fee 🌍","https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/","3%","","","3% choice category; 2% grocery wholesale","Preferred Rewards boost up to 5.25%","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
"Bank of America Unlimited Cash","Bank of America","personal","0.0","0.0","0.0","cashback","Cash","","1.5","1.5","200","dollars","200","1000","0.3","3.0","0% for 15 months","Yes","Simple unlimited 1.5% cash back with potential Preferred Rewards boost","Straightforward flat-rate earning for BoA banking customers wanting set-it-and-forget-it rewards","• 1.5% on all ✓ • Preferred Rewards up to 2.625% ✓ • No annual fee ✓","• No bonus categories • Needs BoA for boost • Foreign transaction fee 🌍","https://www.bankofamerica.com/credit-cards/products/unlimited-cash-back-credit-card/","3%","","","1.5% unlimited","Preferred Rewards up to 2.625%","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
"BankAmericard Cash Rewards","Bank of America","personal","0.0","0.0","0.0","cashback","Cash","","3 / 2 / 1","1.6","200","dollars","200","1000","0.3","3.0","0% for 15 months","Yes","Online shopping and category bonuses with long intro APR for balance transfers","Combines cash back earning with 0% intro period for users managing existing debt while earning rewards","• 3% category choice ✓ • 2% grocery, wholesale • 0% intro 15 mo • No annual fee ✓","• 3% capped $2,500/qtr • Foreign transaction fee 🌍 • Must choose category","https://www.bankofamerica.com/credit-cards/products/cash-back-credit-card/","3%","","","3% choice; 2% grocery/wholesale","Preferred Rewards boost","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
"Bank of America Premium Rewards","Bank of America","personal","95.0","95.0","95.0","travel","Bank of America Points","","1.5","1.5","60000.0","points","600.0","$4,000","0.15","3.0","","No","Premium travel and dining earning for Bank of America Preferred Rewards members","Mid-tier travel card optimized for BoA banking customers with points boost and travel credits","• 60,000 bonus pts after $4k in 90 days ✓ • 2× travel, dining ✓ • $100 airline credit ✓ • No FX fee ✓","• $95 annual fee 💰 • Needs Preferred Rewards • Partners weaker vs Chase/Amex 📉","https://www.bankofamerica.com/credit-cards/products/premium-rewards-credit-card/","0%","","","2× travel dining; $100 airline incidental credit","Preferred Rewards boost; Global Entry credit","2.0","2.0","2.0","2.0","2.0","1.0","1.0","no","","700","good"
"Bank of America Business Advantage Travel Rewards","Bank of America","business","0.0","0.0","0.0","travel","Bank of America Points","","1.5","1.5","30000.0","points","300.0","$3,000","0.1","3.0","0% for 9 months","No","No-fee business travel card with straightforward earning and no foreign transaction fees","Entry business travel option for BoA business banking customers wanting simple points accumulation","• 3× Travel Center • 1.5× all other ✓ • No FX fee ✓ • No annual fee ✓","• Lower earn than premium • Points not transferable • Needs BoA Relationship Rewards","https://business.bankofamerica.com/en/credit-cards/business-advantage-travel-rewards?campaign=4076928~NJ~en_US","0%","","","3× Travel Center; 1.5× all other","Preferred Rewards for Business up to 5.25×","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
"Bank of America Business Advantage Atmos Rewards","Bank of America","business","70.0","70.0","70.0","airline","Atmos Miles","Alaska","3 / 2 / 1","1.7","70000.0","points","700.0","$4000","0.175","3.0","","No","Atmos business card for Alaska/Hawaiian flyers with Companion Fare and category earning","Atmos Visa Business with 70k pts + $99 Companion Fare and Alaska/Hawaiian bonuses","• 70k pts + $99 Companion Fare ✓ • 3× Alaska/Hawaiian ✓ • 2× gas EV shipping transit ✓","• $70 company + $25/card 💰 • Alaska/Hawaiian focus • Route network limited","https://www.alaskaair.com/atmosrewards/content/credit-cards/benefits/visa-small-business","0%","","","70k pts + $99 Companion Fare; $4k in 90 days","3× Alaska/Hawaiian; 2× gas EV shipping transit; free bag; 20% inflight","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
"Bank of America Business Advantage Customized Cash Rewards","Bank of America","business","0.0","0.0","0.0","cashback","Cash","","3 / 2 / 1","1.7","300.0","dollars","300.0","$3000","0.1","3.0","0% for 9 months","Yes","Choose your own 3% business category for targeted spending optimization","No-fee business cash back with category choice for expense concentration","• 3% category choice ✓ • No annual fee ✓ • $300 bonus ✓","• 3% capped $50k/yr • Foreign transaction fee 🌍 • Must choose category","https://business.bankofamerica.com/en/credit-cards/business-advantage-customized-cash-rewards?campaign=4076847~NX~en_US","3%","","","3% choice; 2% dining; 1% other (cap $50k/yr)","Preferred Rewards for Business boost","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
"Alaska Airlines Visa Signature","Bank of America","personal","95.0","95.0","95.0","airline","Alaska Miles","Alaska","3 / 2 / 1","1.5","80000","miles","700.0","$4,000","0.7","120 days","","No","Travelers who regularly fly Alaska and want Companion Fare and free checked bag.","Core Alaska Airlines co-brand for Bank of America customers who want strong airline perks at moderate annual fee.","• Companion Fare ✓ • Free checked bag ✓ • 3× Alaska • No FX fee ✓","• $95 annual fee 💰 • Alaska route network only • Miles devaluation risk ⚠️","https://www.bankofamerica.com/credit-cards/products/alaska-airlines-credit-card/","0%","","","Companion Fare; free checked bag","3× Alaska; 20% inflight; Alaska Lounge+ discount","1.0","1.0","1.0","1.0","1.0","1.0","1.0","","","700","good"
